book_id,title,author,genres,description,average_rating,ratings_count,reviews_count,cleaned_description,standardized_genres
1,The Shadow of Dragon,Dan Brown,Fantasy|Romance,"A compelling read about hero, devotion, legendary, passion, kingdom and emotional. This book explores deep themes, masterfully written by Dan Brown. It stands out in its representation of Fantasy, Romance.",4.02,563,69,"a compelling read about hero, devotion, legendary, passion, kingdom and emotional. this book explores deep themes, masterfully written by dan brown. it stands out in its representation of fantasy, romance.",fantasy|romance
2,No Way Threat,Dan Brown,Thriller,"Uncovering the intricacies of survival, this masterpiece by Dan Brown combines elements of Thriller to create a breathtaking experience. Dive into a world where conspiracy and deadly shape the ultimate destiny.",3.3,975,63,"uncovering the intricacies of survival, this masterpiece by dan brown combines elements of thriller to create a breathtaking experience. dive into a world where conspiracy and deadly shape the ultimate destiny.",thriller
3,12 Rules of Goals,Dan Brown,Self-Help|Non-fiction,"Written by the acclaimed author Dan Brown, this title delivers a gripping narrative centering on analysis and growth. Ideal for fans of Self-Help, Non-fiction, it offers an immersive journey filled with mindset, facts, success, mind.",4.51,1670,86,"written by the acclaimed author dan brown, this title delivers a gripping narrative centering on analysis and growth. ideal for fans of self-help, non-fiction, it offers an immersive journey filled with mindset, facts, success, mind.",non-fiction|self-help
4,The Generation of War,Arthur C. Clarke,Historical Fiction,"Uncovering the intricacies of empire, this masterpiece by Arthur C. Clarke combines elements of Historical Fiction to create a breathtaking experience. Dive into a world where history and rebel shape the ultimate destiny.",3.54,354,24,"uncovering the intricacies of empire, this masterpiece by arthur c. clarke combines elements of historical fiction to create a breathtaking experience. dive into a world where history and rebel shape the ultimate destiny.",historical fiction
5,Legendary and the Lost Kingdom,Neil Gaiman,Fantasy,"Uncovering the intricacies of hero, this masterpiece by Neil Gaiman combines elements of Fantasy to create a breathtaking experience. Dive into a world where prophecy and kingdom shape the ultimate destiny.",3.91,66,6,"uncovering the intricacies of hero, this masterpiece by neil gaiman combines elements of fantasy to create a breathtaking experience. dive into a world where prophecy and kingdom shape the ultimate destiny.",fantasy
6,The Corporate Advantage,Daniel Kahneman,Business,"Uncovering the intricacies of leadership, this masterpiece by Daniel Kahneman combines elements of Business to create a breathtaking experience. Dive into a world where startup and marketing shape the ultimate destiny.",4.17,106,6,"uncovering the intricacies of leadership, this masterpiece by daniel kahneman combines elements of business to create a breathtaking experience. dive into a world where startup and marketing shape the ultimate destiny.",business
7,Hearts in Passion,Isaac Asimov,Romance,"Uncovering the intricacies of romance, this masterpiece by Isaac Asimov combines elements of Romance to create a breathtaking experience. Dive into a world where spark and emotional shape the ultimate destiny.",3.39,122,11,"uncovering the intricacies of romance, this masterpiece by isaac asimov combines elements of romance to create a breathtaking experience. dive into a world where spark and emotional shape the ultimate destiny.",romance
8,The Case of the Truth,Ken Follett,Mystery|Historical Fiction,"Uncovering the intricacies of rebel, this masterpiece by Ken Follett combines elements of Mystery, Historical Fiction to create a breathtaking experience. Dive into a world where mystery and ancient shape the ultimate destiny.",3.52,1362,138,"uncovering the intricacies of rebel, this masterpiece by ken follett combines elements of mystery, historical fiction to create a breathtaking experience. dive into a world where mystery and ancient shape the ultimate destiny.",historical fiction|mystery
9,The Truth Enigma,Yuval Noah Harari,Mystery|Biography,"A compelling read about suspect, secrets, unravel, autobiography, achievement and journey. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Mystery, Biography.",3.56,759,84,"a compelling read about suspect, secrets, unravel, autobiography, achievement and journey. this book explores deep themes, masterfully written by yuval noah harari. it stands out in its representation of mystery, biography.",biography|mystery
10,The Era of War,Jane Austen,Historical Fiction|Non-fiction,"Uncovering the intricacies of analysis, this masterpiece by Jane Austen combines elements of Historical Fiction, Non-fiction to create a breathtaking experience. Dive into a world where empire and past shape the ultimate destiny.",3.53,2073,123,"uncovering the intricacies of analysis, this masterpiece by jane austen combines elements of historical fiction, non-fiction to create a breathtaking experience. dive into a world where empire and past shape the ultimate destiny.",historical fiction|non-fiction
11,Hearts in Date,Agatha Christie,Romance,"Uncovering the intricacies of romance, this masterpiece by Agatha Christie combines elements of Romance to create a breathtaking experience. Dive into a world where date and lovers shape the ultimate destiny.",3.53,6140,381,"uncovering the intricacies of romance, this masterpiece by agatha christie combines elements of romance to create a breathtaking experience. dive into a world where date and lovers shape the ultimate destiny.",romance
12,The Leadership Advantage,Yuval Noah Harari,Business,"A compelling read about innovation, management and entrepreneur. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Business.",3.56,660,93,"a compelling read about innovation, management and entrepreneur. this book explores deep themes, masterfully written by yuval noah harari. it stands out in its representation of business.",business
13,Echoes of Star,J.K. Rowling,Science Fiction|Mystery,"Written by the acclaimed author J.K. Rowling, this title delivers a gripping narrative centering on puzzle and technology. Ideal for fans of Science Fiction, Mystery, it offers an immersive journey filled with future, unravel, investigation, futuristic.",4.17,153,12,"written by the acclaimed author j.k. rowling, this title delivers a gripping narrative centering on puzzle and technology. ideal for fans of science fiction, mystery, it offers an immersive journey filled with future, unravel, investigation, futuristic.",mystery|science fiction
14,Mastering your Lifestyle,Tim Ferriss,Self-Help,"Written by the acclaimed author Tim Ferriss, this title delivers a gripping narrative centering on habits and focus. Ideal for fans of Self-Help, it offers an immersive journey filled with wisdom.",5.0,2786,190,"written by the acclaimed author tim ferriss, this title delivers a gripping narrative centering on habits and focus. ideal for fans of self-help, it offers an immersive journey filled with wisdom.",self-help
15,Legacy of Ancient,Nicholas Sparks,Historical Fiction|Science Fiction,"A compelling read about war, galaxy, vintage, cybernetic, dimensions and century. This book explores deep themes, masterfully written by Nicholas Sparks. It stands out in its representation of Historical Fiction, Science Fiction.",4.13,817,48,"a compelling read about war, galaxy, vintage, cybernetic, dimensions and century. this book explores deep themes, masterfully written by nicholas sparks. it stands out in its representation of historical fiction, science fiction.",historical fiction|science fiction
16,Hearts in Heart,Sheryl Sandberg,Romance|Self-Help,"Written by the acclaimed author Sheryl Sandberg, this title delivers a gripping narrative centering on focus and mindset. Ideal for fans of Romance, Self-Help, it offers an immersive journey filled with heart, affection, goals, lovers.",3.35,99,7,"written by the acclaimed author sheryl sandberg, this title delivers a gripping narrative centering on focus and mindset. ideal for fans of romance, self-help, it offers an immersive journey filled with heart, affection, goals, lovers.",romance|self-help
17,The Artificial intelligence Protocol,Adam Grant,Science Fiction,"Uncovering the intricacies of space, this masterpiece by Adam Grant combines elements of Science Fiction to create a breathtaking experience. Dive into a world where dimensions and robot shape the ultimate destiny.",3.59,2365,184,"uncovering the intricacies of space, this masterpiece by adam grant combines elements of science fiction to create a breathtaking experience. dive into a world where dimensions and robot shape the ultimate destiny.",science fiction
18,Galaxy Millennium,Ray Bradbury,Science Fiction|Biography|Business,"A compelling read about galaxy, innovation, corporate, legacy, struggle, spaceships, career, star and economy. This book explores deep themes, masterfully written by Ray Bradbury. It stands out in its representation of Science Fiction, Biography, Business.",3.29,781,101,"a compelling read about galaxy, innovation, corporate, legacy, struggle, spaceships, career, star and economy. this book explores deep themes, masterfully written by ray bradbury. it stands out in its representation of science fiction, biography, business.",biography|business|science fiction
19,The Agent Threat,Brandon Sanderson,Thriller|Romance|Non-fiction,"Uncovering the intricacies of survival, this masterpiece by Brandon Sanderson combines elements of Thriller, Romance, Non-fiction to create a breathtaking experience. Dive into a world where society and science shape the ultimate destiny.",3.5,1385,70,"uncovering the intricacies of survival, this masterpiece by brandon sanderson combines elements of thriller, romance, non-fiction to create a breathtaking experience. dive into a world where society and science shape the ultimate destiny.",non-fiction|romance|thriller
20,The Marketing Startup,Dan Brown,Business,"A compelling read about sales, startup and wealth. This book explores deep themes, masterfully written by Dan Brown. It stands out in its representation of Business.",4.06,1930,237,"a compelling read about sales, startup and wealth. this book explores deep themes, masterfully written by dan brown. it stands out in its representation of business.",business
21,The Heir of Kingdom,Tim Ferriss,Fantasy,"Uncovering the intricacies of quest, this masterpiece by Tim Ferriss combines elements of Fantasy to create a breathtaking experience. Dive into a world where sword and legendary shape the ultimate destiny.",3.42,458,62,"uncovering the intricacies of quest, this masterpiece by tim ferriss combines elements of fantasy to create a breathtaking experience. dive into a world where sword and legendary shape the ultimate destiny.",fantasy
22,Goals Habits,Agatha Christie,Self-Help,"Written by the acclaimed author Agatha Christie, this title delivers a gripping narrative centering on productivity and discipline. Ideal for fans of Self-Help, it offers an immersive journey filled with goals.",3.12,2488,140,"written by the acclaimed author agatha christie, this title delivers a gripping narrative centering on productivity and discipline. ideal for fans of self-help, it offers an immersive journey filled with goals.",self-help
23,The Chase Threat,Arthur C. Clarke,Thriller|Science Fiction,"A compelling read about agent, spaceships, chase, tension, space and futuristic. This book explores deep themes, masterfully written by Arthur C. Clarke. It stands out in its representation of Thriller, Science Fiction.",3.3,158,19,"a compelling read about agent, spaceships, chase, tension, space and futuristic. this book explores deep themes, masterfully written by arthur c. clarke. it stands out in its representation of thriller, science fiction.",science fiction|thriller
24,The Era of War,Arthur Conan Doyle,Historical Fiction,"Written by the acclaimed author Arthur Conan Doyle, this title delivers a gripping narrative centering on heritage and struggle. Ideal for fans of Historical Fiction, it offers an immersive journey filled with era.",4.18,949,92,"written by the acclaimed author arthur conan doyle, this title delivers a gripping narrative centering on heritage and struggle. ideal for fans of historical fiction, it offers an immersive journey filled with era.",historical fiction
25,Death on Suspect,Jane Austen,Mystery,"A compelling read about murder, case and secrets. This book explores deep themes, masterfully written by Jane Austen. It stands out in its representation of Mystery.",3.96,306,38,"a compelling read about murder, case and secrets. this book explores deep themes, masterfully written by jane austen. it stands out in its representation of mystery.",mystery
26,Mastering your Habits,Robert Kiyosaki,Self-Help,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on productivity and happiness. Ideal for fans of Self-Help, it offers an immersive journey filled with success.",4.47,998,99,"written by the acclaimed author robert kiyosaki, this title delivers a gripping narrative centering on productivity and happiness. ideal for fans of self-help, it offers an immersive journey filled with success.",self-help
27,The Human of Everything,Daniel Kahneman,Non-fiction,"Written by the acclaimed author Daniel Kahneman, this title delivers a gripping narrative centering on science and analysis. Ideal for fans of Non-fiction, it offers an immersive journey filled with mind.",2.62,1783,93,"written by the acclaimed author daniel kahneman, this title delivers a gripping narrative centering on science and analysis. ideal for fans of non-fiction, it offers an immersive journey filled with mind.",non-fiction
28,Struggle Unveiled,Philip K. Dick,Biography|Romance|Non-fiction,"A compelling read about date, legacy, nature, triumph, relationship, science, exploration, achievement and romance. This book explores deep themes, masterfully written by Philip K. Dick. It stands out in its representation of Biography, Romance, Non-fiction.",3.16,2323,234,"a compelling read about date, legacy, nature, triumph, relationship, science, exploration, achievement and romance. this book explores deep themes, masterfully written by philip k. dick. it stands out in its representation of biography, romance, non-fiction.",biography|non-fiction|romance
