book_id,title,author,genres,description,average_rating,ratings_count,reviews_count
1,The Shadow of Dragon,Dan Brown,Fantasy|Romance,"A compelling read about hero, devotion, legendary, passion, kingdom and emotional. This book explores deep themes, masterfully written by Dan Brown. It stands out in its representation of Fantasy, Romance.",4.02,563,69
2,No Way Threat,Dan Brown,Thriller,"Uncovering the intricacies of survival, this masterpiece by Dan Brown combines elements of Thriller to create a breathtaking experience. Dive into a world where conspiracy and deadly shape the ultimate destiny.",3.3,975,63
3,12 Rules of Goals,Dan Brown,Self-Help|Non-fiction,"Written by the acclaimed author Dan Brown, this title delivers a gripping narrative centering on analysis and growth. Ideal for fans of Self-Help, Non-fiction, it offers an immersive journey filled with mindset, facts, success, mind.",4.51,1670,86
4,The Generation of War,Arthur C. Clarke,Historical Fiction,"Uncovering the intricacies of empire, this masterpiece by Arthur C. Clarke combines elements of Historical Fiction to create a breathtaking experience. Dive into a world where history and rebel shape the ultimate destiny.",3.54,354,24
5,Legendary and the Lost Kingdom,Neil Gaiman,Fantasy,"Uncovering the intricacies of hero, this masterpiece by Neil Gaiman combines elements of Fantasy to create a breathtaking experience. Dive into a world where prophecy and kingdom shape the ultimate destiny.",3.91,66,6
6,The Corporate Advantage,Daniel Kahneman,Business,"Uncovering the intricacies of leadership, this masterpiece by Daniel Kahneman combines elements of Business to create a breathtaking experience. Dive into a world where startup and marketing shape the ultimate destiny.",4.17,106,6
7,Hearts in Passion,Isaac Asimov,Romance,"Uncovering the intricacies of romance, this masterpiece by Isaac Asimov combines elements of Romance to create a breathtaking experience. Dive into a world where spark and emotional shape the ultimate destiny.",3.39,122,11
8,The Case of the Truth,Ken Follett,Mystery|Historical Fiction,"Uncovering the intricacies of rebel, this masterpiece by Ken Follett combines elements of Mystery, Historical Fiction to create a breathtaking experience. Dive into a world where mystery and ancient shape the ultimate destiny.",3.52,1362,138
9,The Truth Enigma,Yuval Noah Harari,Mystery|Biography,"A compelling read about suspect, secrets, unravel, autobiography, achievement and journey. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Mystery, Biography.",3.56,759,84
10,The Era of War,Jane Austen,Historical Fiction|Non-fiction,"Uncovering the intricacies of analysis, this masterpiece by Jane Austen combines elements of Historical Fiction, Non-fiction to create a breathtaking experience. Dive into a world where empire and past shape the ultimate destiny.",3.53,2073,123
11,Hearts in Date,Agatha Christie,Romance,"Uncovering the intricacies of romance, this masterpiece by Agatha Christie combines elements of Romance to create a breathtaking experience. Dive into a world where date and lovers shape the ultimate destiny.",3.53,6140,381
12,The Leadership Advantage,Yuval Noah Harari,Business,"A compelling read about innovation, management and entrepreneur. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Business.",3.56,660,93
13,Echoes of Star,J.K. Rowling,Science Fiction|Mystery,"Written by the acclaimed author J.K. Rowling, this title delivers a gripping narrative centering on puzzle and technology. Ideal for fans of Science Fiction, Mystery, it offers an immersive journey filled with future, unravel, investigation, futuristic.",4.17,153,12
14,Mastering your Lifestyle,Tim Ferriss,Self-Help,"Written by the acclaimed author Tim Ferriss, this title delivers a gripping narrative centering on habits and focus. Ideal for fans of Self-Help, it offers an immersive journey filled with wisdom.",5.0,2786,190
15,Legacy of Ancient,Nicholas Sparks,Historical Fiction|Science Fiction,"A compelling read about war, galaxy, vintage, cybernetic, dimensions and century. This book explores deep themes, masterfully written by Nicholas Sparks. It stands out in its representation of Historical Fiction, Science Fiction.",4.13,817,48
16,Hearts in Heart,Sheryl Sandberg,Romance|Self-Help,"Written by the acclaimed author Sheryl Sandberg, this title delivers a gripping narrative centering on focus and mindset. Ideal for fans of Romance, Self-Help, it offers an immersive journey filled with heart, affection, goals, lovers.",3.35,99,7
17,The Artificial intelligence Protocol,Adam Grant,Science Fiction,"Uncovering the intricacies of space, this masterpiece by Adam Grant combines elements of Science Fiction to create a breathtaking experience. Dive into a world where dimensions and robot shape the ultimate destiny.",3.59,2365,184
18,Galaxy Millennium,Ray Bradbury,Science Fiction|Biography|Business,"A compelling read about galaxy, innovation, corporate, legacy, struggle, spaceships, career, star and economy. This book explores deep themes, masterfully written by Ray Bradbury. It stands out in its representation of Science Fiction, Biography, Business.",3.29,781,101
19,The Agent Threat,Brandon Sanderson,Thriller|Romance|Non-fiction,"Uncovering the intricacies of survival, this masterpiece by Brandon Sanderson combines elements of Thriller, Romance, Non-fiction to create a breathtaking experience. Dive into a world where society and science shape the ultimate destiny.",3.5,1385,70
20,The Marketing Startup,Dan Brown,Business,"A compelling read about sales, startup and wealth. This book explores deep themes, masterfully written by Dan Brown. It stands out in its representation of Business.",4.06,1930,237
21,The Heir of Kingdom,Tim Ferriss,Fantasy,"Uncovering the intricacies of quest, this masterpiece by Tim Ferriss combines elements of Fantasy to create a breathtaking experience. Dive into a world where sword and legendary shape the ultimate destiny.",3.42,458,62
22,Goals Habits,Agatha Christie,Self-Help,"Written by the acclaimed author Agatha Christie, this title delivers a gripping narrative centering on productivity and discipline. Ideal for fans of Self-Help, it offers an immersive journey filled with goals.",3.12,2488,140
23,The Chase Threat,Arthur C. Clarke,Thriller|Science Fiction,"A compelling read about agent, spaceships, chase, tension, space and futuristic. This book explores deep themes, masterfully written by Arthur C. Clarke. It stands out in its representation of Thriller, Science Fiction.",3.3,158,19
24,The Era of War,Arthur Conan Doyle,Historical Fiction,"Written by the acclaimed author Arthur Conan Doyle, this title delivers a gripping narrative centering on heritage and struggle. Ideal for fans of Historical Fiction, it offers an immersive journey filled with era.",4.18,949,92
25,Death on Suspect,Jane Austen,Mystery,"A compelling read about murder, case and secrets. This book explores deep themes, masterfully written by Jane Austen. It stands out in its representation of Mystery.",3.96,306,38
26,Mastering your Habits,Robert Kiyosaki,Self-Help,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on productivity and happiness. Ideal for fans of Self-Help, it offers an immersive journey filled with success.",4.47,998,99
27,The Human of Everything,Daniel Kahneman,Non-fiction,"Written by the acclaimed author Daniel Kahneman, this title delivers a gripping narrative centering on science and analysis. Ideal for fans of Non-fiction, it offers an immersive journey filled with mind.",2.62,1783,93
28,Struggle Unveiled,Philip K. Dick,Biography|Romance|Non-fiction,"A compelling read about date, legacy, nature, triumph, relationship, science, exploration, achievement and romance. This book explores deep themes, masterfully written by Philip K. Dick. It stands out in its representation of Biography, Romance, Non-fiction.",3.16,2323,234
29,Legendary and the Lost Kingdom,Peter Thiel,Fantasy|Business,"A compelling read about innovation, marketing, management, legendary, dragon and magic. This book explores deep themes, masterfully written by Peter Thiel. It stands out in its representation of Fantasy, Business.",3.7,1020,92
30,The Threat Conspiracy,Yuval Noah Harari,Thriller,"A compelling read about tension, threat and deadly. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Thriller.",3.44,1623,93
